"CN","LON","LAT"
"304207850489998",-75.502401,39.443037
"304207815489998",-75.508894,39.680573
"304207972489998",-75.206925,39.65873
"304207991489998",-75.31123,39.611
"304208000489998",-75.406996,39.60409
"304207981489998",-75.449282,39.359466
"304207989489998",-75.493728,39.696353
"304207862489998",-74.609831,40.593914
"304207935489998",-74.479791,40.604125
"304207872489998",-74.665451,40.533893
"304207902489998",-74.709129,40.413783
"304207859489998",-74.521748,40.706758
"304207823489998",-74.729165,40.511228
"304207936489998",-74.577886,40.634994
"304207937489998",-74.524745,40.474581
"304207940489998",-74.555372,40.462729
"304207861489998",-74.647206,40.73459
"304208055489998",-74.714808,40.4149
"304207985489998",-74.569238,40.749217
"304208088489998",-74.691897,40.719694
"304208099489998",-74.630211,40.551413
"304208065489998",-74.656769,40.537527
"304207839489998",-74.420929,41.224726
"304207863489998",-74.580628,41.176204
"304207866489998",-74.602366,41.094293
"304207867489998",-74.662841,41.033031
"304207864489998",-74.68522,41.282647
"304207865489998",-74.72757,41.230212
"304207830489998",-74.84615,41.106934
"304207822489998",-74.726867,40.950515
"304207868489998",-74.814911,41.128346
"304207979489998",-74.399175,41.203646
"304208112489998",-74.522526,41.233094
"304208132489998",-74.499326,41.171321
"304207996489998",-74.581751,41.139601
"304208137489998",-74.585233,41.188682
"304208145489998",-74.635426,41.265035
"304207993489998",-74.774588,41.154273
"304207997489998",-74.739568,40.966583
"304208118489998",-74.789639,41.041126
"304207992489998",-74.872088,41.154165
"304208021489998",-74.963961,41.092939
"304207932489998",-74.25107,40.600841
"304207934489998",-74.405751,40.615998
"304208135489998",-74.237174,40.61849
"304208046489998",-74.402956,40.681497
"304207869489998",-74.886914,40.958949
"304207834489998",-74.970687,40.818757
"304207837489998",-75.074034,40.694856
"304207871489998",-74.834277,40.866003
"304207806489998",-75.109373,40.651565
"304207835489998",-75.010144,40.744534
"304207831489998",-75.00576,41.041819
"304207832489998",-74.942906,40.951463
"304208047489998",-74.881783,40.85188
"304207984489998",-74.937333,40.857895
"304208022489998",-74.988352,40.990462
"304208020489998",-75.02815,40.991951
